Term [en],Description [en],Part of Speech [en],Status [en],Type [en],Gender [en],Note [en],Url [en],Term [be],Description [be],Part of Speech [be],Status [be],Type [be],Gender [be],Note [be],Url [be],Term [pl],Description [pl],Part of Speech [pl],Status [pl],Type [pl],Gender [pl],Note [pl],Url [pl],Term [ru],Description [ru],Part of Speech [ru],Status [ru],Type [ru],Gender [ru],Note [ru],Url [ru],Term [uk],Description [uk],Part of Speech [uk],Status [uk],Type [uk],Gender [uk],Note [uk],Url [uk],Concept Definition,Concept Subject,Concept Note,Concept Url,Concept Figure,Translatable
power,,,,,,,,сіла,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Overcoat,,,,,,,,паліто,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Attire,,,,,,,,шаты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
endtable,,,,,,,,столік,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Deal,,VERB,,,,,,Прычыніць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Necrobinder,,,,,,,,Цямнарка,Гулецкі Персанаж STS2,,,,FEMININE,STS2,,Nekromantka,,,,,,,,Призывающая,,,,,,,,Некромантка,,,,,,,,,,,,,yes
Regent,,,,,,,,Спадчыннік,Гулецкі Персанаж STS2,,,,MASCULINE,STS2,,Monarcha,,,,,,,,Наследник,,,,,,,,Реґент,,,,,,,,,,,,,yes
Silent,,,,,,,,Маўчальніца,Гулецкі Персанаж STS2,,,,FEMININE,STS2,,Zjawa,,,,,,,,Безмолвная,,,,,,,,Тиша,,,,,,,,,,,,,yes
Deprived,,,,,,,,Абяздолены,Гулецкі Персанаж STS2,,,,MASCULINE,STS2,,Bezlitosny,,,,,,,,Лишенный,,,,,,,,Знедолений,,,,,,,,,,,,,yes
Defect,,,,,,,,Дэфект,Гулецкі Персанаж STS2,,,,MASCULINE,STS2,,Defekt,,,,,,,,Дефект,,,,,,,,Ґандж,,,,,,,,,,,,,yes
HP,,,,,,,,АЗ,Ключавое слова,,,,,,,PŻ,,,,,,,,ОЗ,,,,,,,,ОЗ,,,,,,,,,,,,,yes
Ethereal,,,,,,,,эфірная,"ключавое слова, уласцівасць карты",,,,,,,Eteryczna,,,,,,,,Эфирная,,,,,,,,Примарна,,,,,,,,,,,,,yes
Eternal,,,,,,,,вечная,"ключавое слова, уласцівасць карты",,,,,,,Wieczna,,,,,,,,Вечная,,,,,,,,Вічна,,,,,,,,,,,,,yes
Innate,,,,,,,,пачатковая,"ключавое слова, уласцівасць карты",,,,,,,Startowa,,,,,,,,Начальная,,,,,,,,Початкова,,,,,,,,,,,,,yes
Retain,,,,,,,,Захоўваецца,"ключавое слова, уласцівасць карты",,,,,,,Zachowanie,,,,,,,,Оставляется,,,,,,,,Заховати,,,,,,,,,,,,,yes
Sly,,,,,,,,круцельства,"ключавое слова, уласцівасць карты",,,,,,,Chytra,,,,,,,,Коварная,,,,,,,,Хитрість,,,,,,,,,,,,,yes
Unplayable,,,,,,,,неігральная,Агульнае,,,,,,,Niezagrywalna,,,,,,,,Неиграбельная,,,,,,,,Неіграбельна,,,,,,,,,,,,,yes
Hex,,,,,,,,сурокі,Агульнае,,,,,,,Zaklęcie,,,,,,,,Сглаз,,,,,,,,Прокляття,,,,,,,,,,,,,yes
Strength,,,,,,,,моц,Агульнае (STS2),,,,,STS2,,Siłа,,,,,,,,сила,,,,,,,,Міц,,,,,,,,,,,,,yes
Stun,,,,,,,,аглушэнне,Агульнае,,,,NEUTER,,,Ogłuszenie,,,,,,,,Оглушение,,,,,,,,Оглушення,,,,,,,,,,,,,yes
Summon,,,,,,,,выклік,Агульнае,,,,,,,Przywołaj,,,,,,,,Призыв,,,,,,,,Поклик,,,,,,,,,,,,,yes
Elite,,,,,,,,элітны праціўнік,,,,,MASCULINE,,,Elitarny przeciwnik,,,,,,,,Элитный враг,,,,,,,,Еліта,,,,,,,,,,,,,yes
Boss,,,,,,,,бос,Агульнае,,,,,,,Boss,,,,,,,,Босс,,,,,,,,Князь,,,,,,,,,,,,,yes
Suck,,,,,,,,,,,,,,,,Wysysanie,,,,,,,,Глоток крови,,,,,,,,Висмоктування,,,,,,,,,,,,,yes
Myte,,,,,,,,,,,,,,,,Roztycz,,,,,,,,Кровожор,,,,,,,,Кліщик,,,,,,,,,,,,,yes
Flail,,,,,,,,,,,,,,,,Szeroki wymach,,,,,,,,Бичевание,,,,,,,,Цеп,,,,,,,,,,,,,yes
Flail Knight,,,,,,,,,,,,,,,,Szeroki Rycerz,,,,,,,,Цепной рыцарь,,,,,,,,Лицар із цепом,,,,,,,,,,,,,yes
Fogmog,,,,,,,,,,,,,,,,Grzybol,,,,,,,,Грибодуй,,,,,,,,Туманець,,,,,,,,,,,,,yes
Fuzzy Wurm Crawler,,,,,,,,Кудлаты чарвяпоўз,,,,,,,,Kędzierzawy Robok,,,,,,,,Пышный червогрив,,,,,,,,Волохатий черв'як-повзун,,,,,,,,,,,,,yes
Whirlwind,,,,,,,,віхор,,,,,,,,Wicher,,,,,,,,Вихрь,,,,,,,,Вихор,,,,,,,,,,,,,yes
Stomp,,,,,,,,тупаценне,дзеянне праціўніка,,,,,,,Tupnięcie,,,,,,,,Топот,,,,,,,,Тупотіння,,,,,,,,,,,,,yes
Seapunk,,,,,,,,Марскі галган,праціўнік,,,,,STS2,,Gloniarz,,,,,,,,Зламинария,,,,,,,,Морський бешкетник,,,,,,,,,,,,,yes
Scroll,,,,,,,,скрутак,,,,,,,,zwoj,,,,,,,,свиток,,,,,,,,сувій,,,,,,,,,,,,,yes
Nibbit,,,,,,,,,,,,,,,,Kumkacz,,,,,,,,Кусака,,,,,,,,Ніббіт,,,,,,,,,,,,,yes
Uppercut,,,,,,,,аперкот,,,,,,,,Cios,,,,,,,,Апперкот,,,,,,,,Аперкот,,,,,,,,,,,,,yes
Deck,,,,,,,,калода,,,,,,,,talia,,,,,,,,колода,,,,,,,,колода,,,,,,,,,,,,,yes
Insanity,,,,,,,,вар’яцтва,,,,,,,,Szaleństwo,,,,,,,,Сумасшествие,,,,,,,,Божевілля,,,,,,,,,,,,,yes
Hoarder,,,,,,,,Антыквар,,,,,,,,Syllogmania,,,,,,,,Барахольщик,,,,,,,,Збирач,,,,,,,,,,,,,yes
Run,,,,,,,,выправа,Адно праходжанне за персанажа,,,,,,,wyprawa,,,,,,,,вылазка,,,,,,,,забіг,,,,,,,,,,,,,yes
Relic,,,,,,,,рэліквія,Агульнае,,,,,,,artefakt,,,,,,,,реликвия,,,,,,,,Амулет,,,,,,,,,,,,,yes
Rest Site,,,,,,,,Стаянка,,,,,,,,Obozowisko,,,,,,,,Табір,,,,,,,,Лагерь,,,,,,,,,,,,,yes
Enemy,,,,,,,,праціўнік,Агульнае,,,,,,,Przeciwnik,,,,,,,,Ворог,,,,,,,,Враг,,,,,,,,,,,,,yes
Replay,,,,,,,,Паўтор,,,,,,,,Powtórka,,,,,,,,Повтор,,,,,,,,Повтор,,,,,,,,,,,,,yes
Forge,,,,,,,,"Гартоўка, гартаваць",,,,,,,,Wykuj,,,,,,,,Закалка,,,,,,,,Кування,,,,,,,,,,,,,yes
Tutorial,,,,,,,,навучанне,Агульнае,,,,,,,Poradnik,,,,,,,,Обучение,,,,,,,,Навчання,,,,,,,,,,,,,yes
Tip,,,,,,,,падказка,,,,,,,,Podpowiedź,,,,,,,,Подсказка,,,,,,,,Підказка,,,,,,,,,,,,,yes
Power,,,,,,,,моц,Агульнае,,,,,,,Moc,,,,,,,,Талант,,,,,,,,Талант,,,,,,,,,,,,,yes
Curse,,,,,,,,праклён,Агульнае,,,,,,,Klątwa,,,,,,,,Проклятие,,,,,,,,Прокляття,,,,,,,,,,,,,yes
Uncommon,,,,,,,,незвычайная,,,,,,,,Niepospolita,,,,,,,,Необычная,,,,,,,,Незвичайна,,,,,,,,,,,,,yes
Ascension,,,,,,,,узнясенне,ключаваое слова,,,,,,,Wyniesienie,,,,,,,,Возвышение,,,,,,,,Сходження,,,,,,,,,,,,,yes
Doom,,,,,,,,пагібель,"ключавое слова, механіка",,,,,,,Zagładę,,,,,,,,Злой рок,,,,,,,,Загибель,,,,,,,,,,,,,yes
Sovereign Blade,,,,,,,,клінок манарха,,,,,,STS2,,Niebiańskie Ostrze,,,,,,,,Клинок монарха,,,,,,,,Суверенний клинок,,,,,,,,,,,,,yes
The Glory,,,,,,,,Хорам,раздзел гульні,,,,,,,Splendor,,,,,,,,Чертог,,,,,,,,Слава,,,,,,,,,,,,,yes
The Hive,,,,,,,,Вулей,раздзел гульні,,,,MASCULINE,,,Roj,,,,,,,,Улей,,,,,,,,Вулик,,,,,,,,,,,,,yes
The Overgrowth,,,,,,,,Зараснік,раздзел гульні,,,,MASCULINE,,,Zarośla,,,,,,,,Заросли,,,,,,,,Хащі,,,,,,,,,,,,,yes
The Underdocks,,,,,,,,Падземныя Докі,раздзел гульні,,,,,,,Nabrzeże,,,,,,,,Пристань,,,,,,,,Підводдя,,,,,,,,,,,,,yes
Neow,,,,,,,,Няў,Старажытны,,,,FEMININE,STS2,,Neow ,,,,,,,,Ньяу ,,,,,,,,Няу ,,,,,,,,,,,,,yes
Khimera King,,,,,,,,Кароль хімер,Старажытны,,,,,,,Chimera Królewska,,,,,,,,Король-химера,,,,,,,,Король Хімер,,,,,,,,,,,,,yes
Abrasive,,,,,,,,,,,,,,,,Ścierniwo,,,,,,,,Дикобраз,,,,,,,,Абразив,,,,,,,,,,,,,yes
Accelerant,,,,,,,,Патэнцыятар,карта,,,,,,,Przyspieszacz,,,,,,,,Катализатор,,,,,,,,Прискорювач,,,,,,,,,,,,,yes
Accuracy,,,,,,,,трапнасць,карта,,,,,,,Celność,,,,,,,,Меткость,,,,,,,,Влучність,,,,,,,,,,,,,yes
Acrobatics,,,,,,,,акрабатыка,карта,,,,,,,,,,,,,,,,,,,,,,,Акробатика,,,,,,,,,,,,,yes
Mother of Resurrection (Exiled),,,,,,,,Маці Уваскрашэння,Старажытны,,,,FEMININE,,,Matka Wskrzeszenia (wygnana),,,,,,,,Праматерь воскрешения (в изгнании),,,,,,,,Мати Воскресіння (Вигнана),,,,,,,,,,,,,yes
Pael,,,,,,,,Паэль,Старажытны,,,,MASCULINE,STS2,,Pael,,,,,,,,Паэль,,,,,,,,Паель,,,,,,,,,,,,,yes
orb,,,,,,,,сфера,,,,,,,,Sfera,,,,,,,,Сфера,,,,,,,,Сфера,,,,,,,,,,,,,yes
Spiraling Whirlpool,,,,,,,,,,,,,,,,Spirujący wir,,,,,,,,Водоворот,,,,,,,,Спіральний Вир,,,,,,,,,,,,,yes
Mantra,,,,,,,,мантра,,,,,,,,Mantra,,,,,,,,Мантра,,,,,,,,Мантра,,,,,,,,,,,,,yes
vial,,,,,,,,,,,,,,,,Fiolka ,,,,,,,,Пузырек ,,,,,,,,Флакон ,,,,,,,,,,,,,yes
Repy,,,,,,,,Рэпі,,,,,,STS2,,Profesor Toperz,,,,,,,,Репи,,,,,,,,Репі,,,,,,,,,,,,,yes
Cursed ,,,,,,,,пракляты,,,,,,,,,,,,,,,,проклятый,,,,,,,,проклятий ,,,,,,,,,,,,,yes
Writhe,,,,,,,,Пакуты,,,,,,,,Zwijanie,,,,,,,,Муки,,,,,,,,Корчі,,,,,,,,,,,,,yes
Entangled,,,,,,,,,,,,,,,,Zaplątanie,,,,,,,,Запутана,,,,,,,,Заплутана,,,,,,,,,,,,,yes
construct,,,,,,,,механізм,Агульнае,,,,,,,KONSTRUKT,,,,,,,,АГРЕГАТ,,,,,,,,КОНСТРУКТ,,,,,,,,,,,,,yes
blessing,,,,,,,,дабраславенне,Агульнае,,,,,,,Błogosłowenie,,,,,,,,благословения ,,,,,,,,благословення ,,,,,,,,,,,,,yes
Osty,,,,,,,,Костусь,,,,,MASCULINE,STS2,,Kostek,,,,,,,,Костя,,,,,,,,Ості,,,,,,,,,,,,,yes
Nonupeipe,,,,,,,,Нанупэйпэ,Старажытны,,,,FEMININE,STS2,,Nonupeipe,,,,,,,,Нонупейпе,,,,,,,,Нонупейпе,,,,,,,,,,,,,yes
Adaptive Strike,,,,,,,,Адаптыўны ўдар,карта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Adrenaline,,,,,,,,адрэналін,карта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Afterimage,,,,,,,,астаткавы вобраз,карта,,,,,,,Powidok,,,,,,,,След в воздухе,,,,,,,,Відблиск,,,,,,,,,,,,,yes
Afterlife,,,,,,,,Той свет,карта,,,,,,,Życie po śmierci,,,,,,,,Загробная жизнь,,,,,,,,Потойбіччя,,,,,,,,,,,,,yes
Aggression,,,,,,,,Агрэсія,карта,,,,,,,Agresja,,,,,,,,Агрессия,,,,,,,,Агресія,,,,,,,,,,,,,yes
Alchemize,,,,,,,,,,,,,,,,Alchemizacja,,,,,,,,Алхимия,,,,,,,,Алхімія,,,,,,,,,,,,,yes
All for One,,,,,,,,,,,,,,,,Wszyscy za jednego,,,,,,,,Все за одного,,,,,,,,Все Заради Одного,,,,,,,,,,,,,yes
Anger,,,,,,,,Гнеў,карта,,,,,,,Złość,,,,,,,,Злоба,,,,,,,,Лють,,,,,,,,,,,,,yes
Anointed,,,,,,,,,,,,,,,,Koronacja,,,,,,,,Избрание,,,,,,,,Помазаний,,,,,,,,,,,,,yes
Anticipate,,,,,,,,Прадбачлівасць,карта,,,,,,,Przewidywanie,,,,,,,,Шестое чувство,,,,,,,,Передчуття,,,,,,,,,,,,,yes
Apotheosis,,,,,,,,Апафеоз,карта,,,,,,,Apoteoza,,,,,,,,Апофеоз,,,,,,,,Апофеоз,,,,,,,,,,,,,yes
Apparition,,,,,,,,Сцень,карта,,,,,,,Duch,,,,,,,,Привидение,,,,,,,,Примара,,,,,,,,,,,,,yes
Inklet,,,,,,,,чэрняня,праціўнік,,,,NEUTER,STS2,,Kropelka,,,,,,,,Чернильник,,,,,,,,Чорнильце,,,,,,,,,,,,,yes
Mawler,,,,,,,,,,,,,,,,Paszczur,,,,,,,,Клыкозавр,,,,,,,,Пащекрут,,,,,,,,,,,,,yes
Raider,,,,,,,,,,,,,,,,"/залежыць ад тыпу пачвары (з сякерай Topornik, з самастрэлам Kusznik і гд)",,,,,,,,Мародер,,,,,,,,Рейдер,,,,,,,,,,,,,yes
Shrinker Beetle,,,,,,,,Жук-памяншальнік,праціўнік,,,,,STS2,,Żuczek Kurczyciel,,,,,,,,Жук-ужиматель,,,,,,,,Жук-зменшувач,,,,,,,,,,,,,yes
Twig Slime,,,,,,,,,,,,,,,,Śluzak Wielki,,,,,,,,Сучковый слизень,,,,,,,,Гілковий слимак,,,,,,,,,,,,,yes
Leaf Slime,,,,,,,,Ліставы смоўж,праціўнік,,,,,STS2,,Śluzak Wielki,,,,,,,,Лиственный слизень,,,,,,,,Листковий слимак,,,,,,,,,,,,,yes
Vine Shambler,,,,,,,,,,,,,,,,Pnączowór,,,,,,,,Заросший скиталец,,,,,,,,Ліаноплет,,,,,,,,,,,,,yes
Flyconid,,,,,,,,,,,,,,,,Musznica,,,,,,,,Мухамор,,,,,,,,Мухогриб,,,,,,,,,,,,,yes
Snapping Jaxfruit,,,,,,,,,,,,,,,,Kwiat Energii,,,,,,,,Зрелый джаксфрут,,,,,,,,Кусючий джекфрукт,,,,,,,,,,,,,yes
Slithering Strangler,,,,,,,,Паўзучы душыцель,праціўнік,,,,,STS2,,Ślizgi Dusiciel,,,,,,,,Ползучий горлодав,,,,,,,,Повзучий душитель,,,,,,,,,,,,,yes
Corpse Slug,,,,,,,,Трупны смоўж,праціўнік,,,,,STS2,,Ślimak Trupojad,,,,,,,,Слизень-падальщик,,,,,,,,Трупний слимак,,,,,,,,,,,,,yes
Calcified Cultist,,,,,,,,,,,,,,,,Zwapniały Kultysta,,,,,,,,Окаменелый культист,,,,,,,,Закам'янілий культист,,,,,,,,,,,,,yes
Damp Cultist,,,,,,,,,,,,,,,,Zwilgotniały Kultysta,,,,,,,,Промокший культист,,,,,,,,Вогкий культист,,,,,,,,,,,,,yes
Fossil Stalker,,,,,,,,,,,,,,,,Skamieliniak,,,,,,,,Хвостолов-отшельник,,,,,,,,Скам'янілий переслідувач,,,,,,,,,,,,,yes
Gremlin Merc,,,,,,,,грэмлін-наёмнік,,,,,,,,Gremlin Rabuś,,,,,,,,Гремлин-наемник,,,,,,,,Ґремлін-найманець,,,,,,,,,,,,,yes
Haunted Ship,,,,,,,,Пракляты карабель,праціўнік,,,,,STS2,,Nawiedzony Statek,,,,,,,,Проклятое судно,,,,,,,,Примарний корабель,,,,,,,,,,,,,yes
Living Fog,,,,,,,,Жывы туман,праціўнік,,,,,STS2,,Żywa Mgła,,,,,,,,Живой туман,,,,,,,,Живий туман,,,,,,,,,,,,,yes
Sewer Clam,,,,,,,,Сцёкавы малюск,праціўнік,,,,,STS2,,Małża Ściekowa,,,,,,,,Сточный моллюск,,,,,,,,Каналізаційна мушля,,,,,,,,,,,,,yes
Sludge Spinner,,,,,,,,Глеісты вяртун,праціўнік,,,,,STS2,,Wirówka,,,,,,,,Грязевой вертоплюй,,,,,,,,Мулокрут,,,,,,,,,,,,,yes
Toadpole,,,,,,,,апалонік,праціўнік,,,,MASCULINE,STS2,,Kijanka,,,,,,,,Головастик,,,,,,,,Жабеня,,,,,,,,,,,,,yes
Two-Tailed Rats,,,,,,,,двухвостыя пацукі,праціўнік,,,,,STS2,,Zmutowany Szczur,,,,,,,,Двухвостые крысы,,,,,,,,Двохвості пацюки,,,,,,,,,,,,,yes
Bowlbug,,,,,,,,чашажук,,,,,,,,Robal,,,,,,,,Полый рогач,,,,,,,,Чашежук,,,,,,,,,,,,,yes
Chomper,,,,,,,,,,,,,,,,Gryzak,,,,,,,,Зубастик,,,,,,,,Хрумкач,,,,,,,,,,,,,yes
Exoskeleton,,,,,,,,экзашкілет,праціўнік,,,,,STS2,,Egzoszkielet,,,,,,,,Экзоскелет,,,,,,,,Екзоскелет,,,,,,,,,,,,,yes
Hunter Killer,,,,,,,,,,,,,,,,Zabójczy Łowca,,,,,,,,Убийца охотников,,,,,,,,Мисливець-вбивця,,,,,,,,,,,,,yes
Louse Progenitor,,,,,,,,,,,,,,,,Protowesz,,,,,,,,Королевская вошь,,,,,,,,Воша-прародитель,,,,,,,,,,,,,yes
Ovicopter,,,,,,,,,,,,,,,,Jajokopter,,,,,,,,Овикоптер,,,,,,,,Овікоптер,,,,,,,,,,,,,yes
Spiny Toad,,,,,,,,,,,,,,,,Kolczasta Ropucha,,,,,,,,Ежовая жаба,,,,,,,,Шипаста ропуха,,,,,,,,,,,,,yes
The Obscura,,,,,,,,,,,,,,,,Zasłona,,,,,,,,Обскура,,,,,,,,Обскура,,,,,,,,,,,,,yes
Thieving Hopper,,,,,,,,Конік-злодзей,праціўнік,,,,,STS2,,Złodziejski Skoczek,,,,,,,,Загребущая цикада,,,,,,,,Стрибун-злодій,,,,,,,,,,,,,yes
Tunneler,,,,,,,,,,,,,,,,Tunelowiec,,,,,,,,Разрыхлитель,,,,,,,,Копач,,,,,,,,,,,,,yes
Axebot,,,,,,,,сякеробат,праціўнік,,,,MASCULINE,STS2,,Siekierobot,,,,,,,,Рубот,,,,,,,,Сокиробот,,,,,,,,,,,,,yes
Devoted Sculptor,,,,,,,,,,,,,,,,Zagorzały Rzeźbiarz,,,,,,,,Одержимый скульптор,,,,,,,,Відданий скульптор,,,,,,,,,,,,,yes
Fabricator,,,,,,,,,,,,,,,,Mechanik,,,,,,,,Сборщик,,,,,,,,Фабрикатор,,,,,,,,,,,,,yes
Frog Knight,,,,,,,,Жабцэлот,праціўнік,,,,MASCULINE,STS2,,Żabi Rycerz,,,,,,,,Сэр лягушка,,,,,,,,Жаб'ячий лицар,,,,,,,,,,,,,yes
Globe Head,,,,,,,,,,,,,,,,Plazmogłowy,,,,,,,,Шароголовый,,,,,,,,Кулеголов,,,,,,,,,,,,,yes
Living Shield,,,,,,,,жывы шчыт,праціўнік,,,,,STS2,,Żywa Tarcza,,,,,,,,Живой щит,,,,,,,,Живий щит,,,,,,,,,,,,,yes
Turret Operator,,,,,,,,,,,,,,,,Szczur z CKM-em,,,,,,,,Наводчик,,,,,,,,Оператор турелі,,,,,,,,,,,,,yes
Owl Magistrate,,,,,,,,,,,,,,,,Sędzia,,,,,,,,Сова юстициарий,,,,,,,,Сова-магістрат,,,,,,,,,,,,,yes
Slimed Berserker,,,,,,,,Аслізлы берсерк,,,,,,,,Śluzak Berserker,,,,,,,,Ослизненный берсерк,,,,,,,,Заслизнений берсерк,,,,,,,,,,,,,yes
The Lost,,,,,,,,Згублены,праціўнік,,,,,STS2,,Porzucony,,,,,,,,Пропащий,,,,,,,,Загублений,,,,,,,,,,,,,yes
The Forgotten,,,,,,,,Забыты,праціўнік,,,,,STS2,,Zapomniany,,,,,,,,Забытый,,,,,,,,Забутий,,,,,,,,,,,,,yes
Ceremonial Beast,,,,,,,,,,,,,,,,Leśnym Stróżem,,,,,,,,Хранитель обряда,,,,,,,,Церемоніальний звір,,,,,,,,,,,,,yes
Kin Priest,,,,,,,,,,,,,,,,Kapłan,,,,,,,,Пастырь стаи,,,,,,,,Жрець Братства,,,,,,,,,,,,,yes
Vantom,,,,,,,,вантом,бос,,,,,STS2,,Fantomem,,,,,,,,Вантом,,,,,,,,Вантом,,,,,,,,,,,,,yes
Lagavulin Matriarch,,,,,,,,,,,,,,,,Królową Lagavulinów,,,,,,,,Праматерь лагавулинов,,,,,,,,Лагавулін-матріарх,,,,,,,,,,,,,yes
Soul Fysh,,,,,,,,душарыб,,,,,,,,Duszą Rypki,,,,,,,,Призрачный рыб,,,,,,,,Душориба,,,,,,,,,,,,,yes
Waterfall Giant,,,,,,,,вадаспадны вялікан,бос,,,,,STS2,,Kaskadowym Olbrzymem,,,,,,,,Рифовый великан,,,,,,,,Водоспадний велетень,,,,,,,,,,,,,yes
Kaiser Crab,,,,,,,,,,,,,,,,Krabem Cesarskim,,,,,,,,Царь-краб,,,,,,,,Кайзер-краб,,,,,,,,,,,,,yes
Knowledge Demon,,,,,,,,Дэман-усёвед,бос,,,,MASCULINE,STS2,,Demonem Wiedzy,,,,,,,,Всезнающий демон,,,,,,,,Демон знань,,,,,,,,,,,,,yes
The Insatiable,,,,,,,,Ненасытны,бос,,,,,STS2,,Nienasycony,,,,,,,,Проглот,,,,,,,,Ненаситний,,,,,,,,,,,,,yes
Doormaker,,,,,,,,,,,,,,,,Drzwiarzem,,,,,,,,Привратник,,,,,,,,Дверотворець,,,,,,,,,,,,,yes
Queen,,,,,,,,каралева,бос,,,,FEMININE,STS2,,Królową,,,,,,,,Королева,,,,,,,,Королева,,,,,,,,,,,,,yes
Test Subject,,,,,,,,доследны,бос,,,,,STS2,,Eksperymentem,,,,,,,,Подопытный,,,,,,,,Піддослідний,,,,,,,,,,,,,yes
Spire,,,,,,,,Шпіль,лакацыя,,,,MASCULINE,STS2,,Iglicа,,,,,,,,Шпиль,,,,,,,,Шпиль,,,,,,,,,,,,,yes
deal,,,,,,,,прычыніць,"ключавое слова, дзеянне карты",,,,,,,Zadać,,,,,,,,Наносить,,,,,,,,Наносить,,,,,,,,,,,,,yes
Channel,,,,,,,,зараджанне сфер,ключавое слова,,,,,,,Załadowanie,,,,,,,,Зарядка сфер,,,,,,,,Спрямування,,,,,,,,,,,,,yes
Tezcatara ,,,,,,,,Тэцкатара,Старажытны,,,,FEMININE,STS2,,Tezcatara ,,,,,,,,Тецкатара ,,,,,,,,Тецкатара ,,,,,,,,,,,,,yes
Exhaust,,,,,,,,спаліць,"ключавое слова, уласцівасць карты",,,,,,,Wyczerpanie,,,,,,,,Сжигается,,,,,,,,Спалити,,,,,,,,,,,,,yes
Soul Nexus,,,,,,,,,,,,,,,,Spojenie Dusz,,,,,,,,Чистилище душ,,,,,,,,Вузол душ,,,,,,,,,,,,,yes
Darv,,,,,,,,Дарв,Старажытны,,,,,STS2,,Darv,,,,,,,,Дарв,,,,,,,,Дарв,,,,,,,,,,,,,yes
Orobas,,,,,,,,Аробас,Старажытны,,,,,STS2,,Orobas,,,,,,,,Оробас,,,,,,,,Оробас,,,,,,,,,,,,,yes
Comnpendium,,,,,,,,кампендыум,,,,,,,,Kompendium,,,,,,,,Компендиум,,,,,,,,Довідник,,,,,,,,,,,,,yes
Skulking Colony,,,,,,,,,,,,,,,,Żywa Rafa Koralowa,,,,,,,,Копотливая колония,,,,,,,,Потайна колонія,,,,,,,,,,,,,yes
Phantasmal Gardener,,,,,,,,,,,,,,,,Węgorzówka,,,,,,,,Фантомный альгочист,,,,,,,,Примарний садівник,,,,,,,,,,,,,yes
Terror Eel,,,,,,,,,,,,,,,,Węgorzor,,,,,,,,Испугорь,,,,,,,,Жахливий вугор,,,,,,,,,,,,,yes
Bygone Effigy,,,,,,,,,,,,,,,,Starodawna Figura,,,,,,,,Античный истукан,,,,,,,,Забутий ідол,,,,,,,,,,,,,yes
Byrdonis,,,,,,,,,,,,,,,,Ptaszor,,,,,,,,Птахоклюй,,,,,,,,Пташедон,,,,,,,,,,,,,yes
Phrog Parasite,,,,,,,,,,,,,,,,Zainfekowana Żapka,,,,,,,,Лягуш-паразит,,,,,,,,Жаба-паразит,,,,,,,,,,,,,yes
Entomancer,,,,,,,,Энтамант,Элітны праціўнік,,,,,STS2,,Pszczelarz,,,,,,,,Энтомант,,,,,,,,Ентомансер,,,,,,,,,,,,,yes
Decimillipede,,,,,,,,,,,,,,,,Wielonoga,,,,,,,,Скольконожка,,,,,,,,Децимілліпед,,,,,,,,,,,,,yes
Block,,,,,,,,браня,"ключавое слова, уласцівасць карты",,,,,,,Blok,,,,,,,,Защита,,,,,,,,Броня,,,,,,,,,,,,,yes
Blight,,,,,,,,пошасць,,,,,,,,Zaraza,,,,,,,,Гниль,,,,,,,,Порча,,,,,,,,,,,,,yes
Shiv,,,,,,,,швайка ,"ключавое слова, назва карты",,,,,,,Nóż,,,,,,,,Заточка,,,,,,,,Запоясник,,,,,,,,,,,,,yes
Focus,,,,,,,,канцэнтрацыя,"ключаваое слова, механіка",,,,,,,Skupienie,,,,,,,,фокус,,,,,,,,Зосередження,,,,,,,,,,,,,yes
Colorless ,,,,,,,,бясколерны,"ключавое слова, уласцівасць карты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Affliction,,,,,,,,псота,,,,,,,,przekleństwo,,,,,,,,порча,,,,,,,,ураження,,,,,,,,,,,,,yes
Timeline ,,,,,,,,летапіс,,,,,,STS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Intangible,,,,,,,,неадчувальнасць,Агульнае,,,,,,,Nieuchwytność,,,,,,,,Неосязаемость,,,,,,,,Невловимий,,,,,,,,,,,,,yes
Vulnerable,,,,,,,,безабароннасць,Агульнае,,,,,,,Wrażliwość,,,,,,,,Уязвимость,,,,,,,,Уразливий,,,,,,,,,,,,,yes
Poison,,,,,,,,атрута,Агульнае,,,,,,,Trucizna,,,,,,,,Яд,,,,,,,,Отрута,,,,,,,,,,,,,yes
Dexterity,,,,,,,,спрытнасць,Агульнае,,,,,,,Zręczność,,,,,,,,Ловкость,,,,,,,,Спритність,,,,,,,,,,,,,yes
Apply ,,,,,,,,накласці,"ключавое слова, механіка",,,,,,,Nałożyć,,,,,,,,Накладываць,,,,,,,,Накласти,,,,,,,,,,,,,yes
Evoke,,,,,,,,разраджанне сфер,"ключавое слова, механіка",,,,,,,Wyładowanie,,,,,,,,Разрядка сфер,,,,,,,,Вивільнити,,,,,,,,,,,,,yes
